|,Area,0,1,2,3,4
development,automation,"Manual deployment, no process or automation","Minimal deployment ad-hoc scripting, non repeatable","Baseline CI processing (unit tests, manual testing)","Advanced CI, >90% automated testing, pipelines, approval gateways",Full CD from development into Production (> 90%)
,methodology,Ad-hoc development approach,Defined waterfall approach,Limited agile development on new projects (not including operations),"Mostly Agile development, with support from Operations",Agile development with an active DevOps culture
,architecture,Ad-hoc choice of application platforms and tooling. Limited understanding of contemporary architectural approaches.,Selected vendor technical roadmap. Initial understanding of new architectures and designs,Iterative development of existing applications. Limited legacy strategy and beginnings of new development architectures,Focus on new application platforms & limited legacy platforms. Well defined architecture for new development projects and operating models,Holistic & defined overall development strategy. Good designs and architectures in place and under regular review
,strategy,"Ad-hoc, tactical, one-off requirements and poorly understood and communicated strategy","Repeatible requirements gathering approach, traditional system analysis",Minimal Viable Product approach,Exploration of multiple approaches to solve business needs,Business vaule driven IT innovation. IT working in a collaborative manner with the business.
,environment,Traditional programming techniques in a heavily siloed structure,Sporadic agile-adoption with limited cross-team collaboration,Multi-team collaboration through formalised communication channels,Early adoption of cross-functional teams and shared delivery goals,100% DevOps collaboraborative culture with energised cross-functional teams and constant improvement
operations,automation,"Core build for operating system, only basic (manual) provisioning",Patch & Release management (OS),Automated QA Staging process (SOE),Automated OS builds,Automatically managed and provisioned Infrastructure through self service
,methodology,Hosting/Management only,"Defined SLAs/ITIL, with manual or partially automated service delivery",Compliance and security auditing,SOE,Full DevOps culture
,architecture,Ad-hoc choice of future platforms,Selected vendor technical roadmap,Focus on maintaining existing infrastructure,Primary focus on new applications,Defined strategy for existing and new architectures
,strategy,Instances of negative business impact,"Good functioning service operations, few unscheduled outage but slow to deploy","Project based service offerings, no unscheduled outages and rapid deployment",Self service operations for development and the business,Transparent integration with project I.T.
,environment,Standard Unix approach in a heavily siloed structure,"Reactive rather than Pro-active Operations teams, Water cooler discussions get more done","Collaboration across siloes just beginning, agile understood,sense of urgency for change established","Collaborative, empowered, connected, smaller, cross-functional teams. <br>Open Source and Inner Source solutions actively encouraged communities of practice forming. New collaborative way of working established","100% DevOps collaboraborative culture with energised cross-functional teams and constant improvement. Positive change realised, individuals contributing, Open Organisation understood"
